,Building,use,Elect_kWH,Steam_Mlb,Elect,NGas,Steam,Oil2,Oil4,Diesel,Total,Asset.Type,SQFT,CITY,...5
107,520 Pike Tower,Cooling Loads,2210381.7,0,7555084.65,0,0,0,0,0,7555084.65,office,425829,Seattle,NA
108,520 Pike Tower,Heating Loads,2915623.83,0,9965602.25,0,0,0,0,0,9965602.25,office,425829,Seattle,NA
109,525 W Monroe,Base Loads,952024.2393,0,3254018.85,65148.55,0,0,0,2266.5,3321433.9,office,1028492,Chicago,NA
110,525 W Monroe,Cooling Loads,5587158.221,0,19096906.8,374400.85,0,0,0,5148,19476455.65,office,1028492,Chicago,NA
111,525 W Monroe,Heating Loads,8983303.906,0,30704932.75,442148.2,0,0,0,10334.9,31157415.85,office,1028492,Chicago,NA
112,595 Market,Base Loads,410011.4394,451.2149916,1401419.1,0,538750.7,0,0,0,1940169.8,office,429572,San Francisco,NA
113,595 Market,Cooling Loads,2835552.809,3108.180946,9691919.5,0,3711168.05,0,0,0,13403087.55,office,429572,San Francisco,NA
114,595 Market,Heating Loads,2261328.174,3245.916876,7729219.7,0,3875624.75,0,0,0,11604844.45,office,429572,San Francisco,NA
115,6430 Sunset,Base Loads,450406.0708,0,1539487.95,18286.2,0,0,0,0,1557774.15,office,202444,Los Angeles,NA
116,6430 Sunset,Cooling Loads,2264781.319,0,7741022.55,564940.4,0,0,0,0,8305962.95,office,202444,Los Angeles,NA
117,6430 Sunset,Heating Loads,2541271.562,0,8686066.2,1570046.55,0,0,0,0,10256112.75,office,202444,Los Angeles,NA
118,900 19th Street,Base Loads,80971.73786,0,276761.4,0,0,0,0,0,276761.4,office,115272,"Washington, D.C.",NA
119,900 19th Street,Cooling Loads,530249.6489,0,1812393.3,0,0,0,0,0,1812393.3,office,115272,"Washington, D.C.",NA
120,900 19th Street,Heating Loads,687219.1486,0,2348915.05,0,0,0,0,0,2348915.05,office,115272,"Washington, D.C.",NA
121,Arboretum Courtyard,Base Loads,138441.7642,0,473193.95,81999.9,0,0,0,0,555193.85,office,147000,Los Angeles,NA
122,Arboretum Courtyard,Cooling Loads,804541.0035,0,2749921.15,264184.45,0,0,0,0,3014105.6,office,147000,Los Angeles,NA
123,Arboretum Courtyard,Heating Loads,819231.9631,0,2800134.85,906973.2,0,0,0,0,3707108.05,office,147000,Los Angeles,NA
124,Bala I,Base Loads,526349.093,0,1799061.2,83266.95,0,0,0,0,1882328.15,office,400386,Bala Cynwyd,NA
125,Bala I,Cooling Loads,2914586.498,0,9962056.65,693492.05,0,0,0,0,10655548.7,office,400386,Bala Cynwyd,NA
126,Bala I,Heating Loads,3252184.669,0,11115967.2,8387999.15,0,632638,0,0,20136604.35,office,400386,Bala Cynwyd,NA
127,Bala II,Base Loads,445150.3365,0,1521523.85,68048.95,0,0,0,0,1589572.8,office,290011,Bala Cynwyd,NA
128,Bala II,Cooling Loads,2857221.036,0,9765981.5,516746.95,0,0,0,276000,10558728.45,office,290011,Bala Cynwyd,NA
129,Bala II,Heating Loads,2631358.66,0,8993983.9,7132844.95,0,0,0,661319,16788147.85,office,290011,Bala Cynwyd,NA
130,Bala III,Base Loads,446652.8233,0,1526659.35,0,0,0,0,0,1526659.35,office,394764,Bala Cynwyd,NA
131,Bala III,Cooling Loads,2889233.543,0,9875400.25,0,0,0,0,0,9875400.25,office,394764,Bala Cynwyd,NA
132,Bala III,Heating Loads,3277190.374,0,11201436.7,0,0,0,0,0,11201436.7,office,394764,Bala Cynwyd,NA
133,Beverly Place,Base Loads,64455.9684,0,220310.5,7121.1,0,0,0,0,227431.6,office,132289,Los Angeles,NA
134,Beverly Place,Cooling Loads,494905.2516,0,1691586.15,31761.65,0,0,0,0,1723347.8,office,132289,Los Angeles,NA
135,Beverly Place,Heating Loads,405005.12,0,1384307.5,30747.25,0,0,0,0,1415054.75,office,132289,Los Angeles,NA
136,Chrysler East Building,Base Loads,715673.5372,544.9785176,2446172.15,0,650704.35,0,0,0,3096876.5,office,770389,New York,NA
137,Chrysler East Building,Cooling Loads,4348390.886,9897.650168,14862800.05,0,11817794.3,0,0,0,26680594.35,office,770389,New York,NA
138,Chrysler East Building,Heating Loads,4638216.062,8017.810511,15853422.5,0,9573265.75,0,0,0,25426688.25,office,770389,New York,NA
139,CitySpire,Base Loads,669741.5301,203.6250419,2289176.55,12750,243128.3,0,0,0,2545054.85,office,370758,New York,NA
140,CitySpire,Cooling Loads,4507151.448,8.655067002,15405443.65,61454.35,10334.15,0,0,0,15477232.15,office,370758,New York,NA
141,CitySpire,Heating Loads,4455137.961,4443.755695,15227661.55,78070.4,5305844.3,0,0,0,20611576.25,office,370758,New York,NA
142,GAC,Base Loads,1386349.561,0,4738542.8,0,0,0,0,0,4738542.8,office,648000,Stamford,NA
143,GAC,Cooling Loads,7311259.128,0,24989883.7,0,0,1805316,0,0,26795199.7,office,648000,Stamford,NA
